id,name,position,team,pace,stamina,strength,short_passing,long_passing,vision,finishing,shot_power,dribbling,ball_control,tackling,interceptions,blocking,positioning,reflexes,handling,gk_positioning
647,Lukas Daschner,AT,Bochum,86,66,50,81,48,68,60,50,60,50,50,50,50,55,50,50,50
648,Juan David Cabal,DF,Juventus,76,88,50,93,63,53,50,50,50,50,60,60,60,64,50,50,50
649,Jonathan David,AT,Lille,85,73,50,86,66,100,60,50,60,50,50,56,50,57,50,50,50
650,Alphonso Davies,DF,Bayern Munich,95,88,50,94,62,100,50,50,50,50,60,76,60,72,50,50,50
651,Ben Davies,DF,Tottenham,77,73,50,92,68,53,50,50,50,50,60,64,60,91,50,50,50
652,Keinan Davis,AT,Udinese,75,67,50,78,100,95,60,50,60,50,50,52,50,54,50,50,50
653,Leif Davis,DF,Ipswich Town,63,74,50,86,37,100,50,50,50,50,60,96,60,100,50,50,50
654,Zuriko Davitashvili,AT,Saint-Étienne,68,73,50,88,42,100,60,50,60,50,50,70,50,55,50,50,50
655,Paweł Dawidowicz,DF,Hellas Verona,67,73,50,93,53,50,50,50,50,50,60,82,60,95,50,50,50
656,Craig Dawson,DF,Wolves,77,69,50,92,60,56,50,50,50,50,60,68,60,100,50,50,50
657,Kevin De Bruyne,MD,Manchester City,77,87,50,86,62,100,50,50,50,50,50,60,50,59,50,50,50
658,Charles De Ketelaere,AT,Atalanta,73,85,50,84,61,100,60,50,60,50,50,54,50,58,50,50,50
659,Rodrigo De Paul,MD,Atlético Madrid,82,82,50,90,60,100,50,50,50,50,50,60,50,60,50,50,50
660,Théo De Percin,GK,Auxerre,62,60,50,100,43,50,30,50,40,50,50,50,50,53,80,80,80
661,Mattia De Sciglio,DF,Empoli,70,83,50,89,62,59,50,50,50,50,60,64,60,80,50,50,50
662,Lorenzo De Silvestri,DF,Bologna,81,71,50,87,59,65,50,50,50,50,60,64,60,74,50,50,50
663,Thibault De Smet,DF,Reims,68,72,50,90,63,50,50,50,50,50,60,60,60,62,50,50,50
664,Koni De Winter,DF,Genoa,68,76,50,88,63,59,50,50,50,50,60,76,60,100,50,50,50
665,Amar Dedić,AT,Marseille,73,69,50,94,50,59,60,50,60,50,50,50,50,55,50,50,50
666,Alessandro Deiola,MD,Cagliari,65,95,50,81,64,59,50,50,50,50,50,70,50,81,50,50,50
667,Romain Del Castillo,AT,Brest,70,79,50,79,47,100,60,50,60,50,50,62,50,53,50,50,50
668,Enrico Del Prato,DF,Parma,78,88,50,93,50,83,50,50,50,50,60,86,60,100,50,50,50
669,Liam Delap,AT,Ipswich Town,84,80,50,71,42,100,60,50,60,50,50,54,50,72,50,50,50
670,Fisayo Dele-Bashiru,AT,Lazio,75,79,50,91,81,71,60,50,60,50,50,58,50,54,50,50,50
671,Andy Delort,AT,Montpellier,91,71,50,52,28,62,60,50,60,50,50,50,50,53,50,50,50
672,Olivier Deman,DF,Werder Bremen,60,72,50,93,27,53,50,50,50,50,60,60,60,54,50,50,50
673,Ali Dembélé,DF,Torino,82,70,50,78,66,53,50,50,50,50,60,60,60,54,50,50,50
674,Ousmane Dembélé,AT,Paris S-G,93,80,50,84,66,100,60,50,60,50,50,68,50,52,50,50,50
675,Ermedin Demirović,AT,Stuttgart,81,83,50,74,66,89,60,50,60,50,50,54,50,60,50,50,50
676,Sepp van den Berg,DF,Brentford,77,83,50,88,64,62,50,50,50,50,60,78,60,100,50,50,50
677,Arthur Desmas,GK,Le Havre,43,63,50,100,47,53,30,50,40,50,50,50,50,59,80,80,80
678,Justin Devenny,MD,Crystal Palace,72,79,50,81,36,65,50,50,50,50,50,50,50,58,50,50,50
679,Kiernan Dewsbury-Hall,MD,Chelsea,86,93,50,91,40,56,50,50,50,50,50,52,50,54,50,50,50
680,Michele Di Gregorio,GK,Juventus,48,62,50,99,48,53,30,50,40,50,50,50,50,57,80,80,80
681,Giovanni Di Lorenzo,DF,Napoli,64,87,50,90,57,100,50,50,50,50,60,96,60,100,50,50,50
682,Boulaye Dia,AT,Lazio,74,69,50,85,89,100,60,50,60,50,50,60,50,58,50,50,50
683,Mouctar Diakhaby,DF,Valencia,71,74,50,70,33,53,50,50,50,50,60,60,60,54,50,50,50
684,Mamadou Diakhon,AT,Reims,75,79,50,80,71,68,60,50,60,50,50,54,50,52,50,50,50
685,Bafodé Diakité,DF,Lille,62,72,50,94,75,59,50,50,50,50,60,90,60,100,50,50,50
686,Oumar Diakité,AT,Reims,73,70,50,84,84,83,60,50,60,50,50,56,50,59,50,50,50
687,Amad Diallo,AT,Manchester Utd,88,75,50,90,52,100,60,50,60,50,50,70,50,66,50,50,50
688,Assane Diao,AT,Como,86,77,50,82,60,59,60,50,60,50,50,56,50,60,50,50,50
689,Assane Diao,AT,Betis,86,82,50,83,100,74,60,50,60,50,50,50,50,53,50,50,50
690,Habib Diarra,AT,Strasbourg,80,74,50,89,58,100,60,50,60,50,50,70,50,86,50,50,50
691,Moussa Diarra,DF,Alavés,78,75,50,89,47,59,50,50,50,50,60,92,60,83,50,50,50
692,Rúben Dias,DF,Manchester City,75,85,50,97,74,65,50,50,50,50,60,80,60,87,50,50,50
693,Krépin Diatta,DF,Monaco,70,71,50,85,50,59,50,50,50,50,60,64,60,59,50,50,50
694,Kandet Diawara,AT,Le Havre,91,70,50,50,50,50,60,50,60,50,50,50,50,51,50,50,50
695,Mahamadou Diawara,MD,Le Havre,81,90,50,89,76,65,50,50,50,50,50,68,50,59,50,50,50
696,Mahamadou Diawara,MD,Lyon,78,78,50,75,100,50,50,50,50,50,50,50,50,50,50,50,50
697,Brahim Díaz,AT,Real Madrid,85,81,50,90,64,98,60,50,60,50,50,56,50,51,50,50,50
698,Luis Díaz,AT,Liverpool,77,83,50,89,82,100,60,50,60,50,50,62,50,57,50,50,50
699,Pedro Díaz,MD,Rayo Vallecano,70,94,50,91,40,86,50,50,50,50,50,60,50,53,50,50,50
700,Tyler Dibling,AT,Southampton,77,67,50,88,43,100,60,50,60,50,50,64,50,59,50,50,50
701,Diego,AT,Leganés,91,68,50,79,75,65,60,50,60,50,50,52,50,57,50,50,50
702,Justin Diehl,AT,Stuttgart,88,70,50,82,20,53,60,50,60,50,50,50,50,50,50,50,50
703,Bamba Dieng,AT,Angers,71,73,50,84,50,50,60,50,60,50,50,50,50,53,50,50,50
704,Eric Dier,DF,Bayern Munich,78,85,50,96,83,53,50,50,50,50,60,70,60,76,50,50,50
705,Lucas Digne,DF,Aston Villa,78,74,50,88,37,100,50,50,50,50,60,100,60,100,50,50,50
706,Kembo Diliwidi,DF,Lens,68,87,50,100,50,50,50,50,50,50,60,60,60,50,50,50,50
707,Federico Dimarco,AT,Inter,90,71,50,87,47,100,60,50,60,50,50,70,50,75,50,50,50
708,Stole Dimitrievski,GK,Valencia,51,62,50,100,30,50,30,50,40,50,50,50,50,53,80,80,80
709,Junior Dina Ebimbe,AT,Eint Frankfurt,89,72,50,64,40,59,60,50,60,50,50,64,50,56,50,50,50
710,Eren Dinkçi,AT,Freiburg,70,85,50,84,46,100,60,50,60,50,50,62,50,57,50,50,50
711,Sinaly Diomande,DF,Auxerre,72,76,50,86,56,56,50,50,50,50,60,86,60,100,50,50,50
712,Lois Diony,AT,Angers,69,79,50,33,50,50,60,50,60,50,50,50,50,50,50,50,50
713,Issa Diop,DF,Fulham,64,72,50,92,52,59,50,50,50,50,60,66,60,100,50,50,50
714,Sérigné Diop,AT,Brest,72,71,50,50,50,50,60,50,60,50,50,50,50,50,50,50,50
715,Sofiane Diop,AT,Nice,79,65,50,84,48,100,60,50,60,50,50,70,50,57,50,50,50
716,Andy Diouf,MD,Lens,81,75,50,86,50,100,50,50,50,50,50,70,50,64,50,50,50
717,Yehvann Diouf,GK,Reims,50,72,50,99,43,50,30,50,40,50,50,50,50,61,80,80,80
718,Assane Dioussé,MD,Auxerre,74,94,50,98,79,53,50,50,50,50,50,62,50,55,50,50,50
719,Axel Disasi,DF,Aston Villa,63,69,50,95,61,56,50,50,50,50,60,60,60,66,50,50,50
720,Axel Disasi,DF,Chelsea,76,71,50,94,69,56,50,50,50,50,60,60,60,61,50,50,50
721,Roman Dixon,DF,Everton,62,73,50,75,33,50,50,50,50,50,60,60,60,53,50,50,50
722,Álvaro djaló,AT,Athletic Club,77,66,50,78,62,59,60,50,60,50,50,52,50,54,50,50,50
723,Djené,MD,Getafe,81,95,50,79,53,74,50,50,50,50,50,88,50,100,50,50,50
724,Nasser Djiga,DF,Wolves,64,88,50,100,50,50,50,50,50,50,60,60,60,52,50,50,50
725,Berat Djimsiti,DF,Atalanta,71,86,50,91,70,74,50,50,50,50,60,100,60,100,50,50,50
726,Marko Dmitrović,GK,Leganés,43,64,50,100,30,50,30,50,40,50,50,50,50,70,80,80,80
727,Ritsu Doan,AT,Freiburg,87,82,50,79,53,98,60,50,60,50,50,70,50,81,50,50,50
728,Dodô,DF,Fiorentina,66,74,50,86,50,100,50,50,50,50,60,100,60,98,50,50,50
729,Danilho Doekhi,DF,Union Berlin,70,85,50,87,42,74,50,50,50,50,60,100,60,100,50,50,50
730,Matt Doherty,DF,Wolves,64,80,50,89,61,80,50,50,50,50,60,86,60,100,50,50,50
731,Jeremy Doku,AT,Manchester City,85,75,50,86,66,100,60,50,60,50,50,58,50,52,50,50,50
732,Marc Domenech,AT,Mallorca,85,77,50,73,100,53,60,50,60,50,50,50,50,50,50,50,50
733,Álex Domínguez,GK,Toulouse,57,63,50,100,50,50,30,50,40,50,50,50,50,50,80,80,80
734,Benjamín Domínguez,AT,Bologna,92,67,50,88,56,65,60,50,60,50,50,58,50,56,50,50,50
735,Carlos Dominguez,DF,Celta Vigo,72,73,50,94,42,53,50,50,50,50,60,64,60,92,50,50,50
736,Israel Domínguez,AT,Sevilla,81,74,50,100,50,50,60,50,60,50,50,50,50,50,50,50,50
737,Nicolás Domínguez,AT,Nott'ham Forest,74,83,50,91,62,74,60,50,60,50,50,70,50,81,50,50,50
738,Sergi Dominguez,DF,Barcelona,73,84,50,100,70,50,50,50,50,50,60,60,60,57,50,50,50
739,Gianluigi Donnarumma,GK,Paris S-G,54,79,50,100,58,50,30,50,40,50,50,50,50,60,80,80,80
740,Patrick Dorgu,DF,Manchester Utd,68,73,50,85,25,56,50,50,50,50,60,60,60,58,50,50,50
741,Patrick Dorgu,AT,Lecce,88,77,50,86,53,100,60,50,60,50,50,70,50,92,50,50,50
742,Alfie Dorrington,DF,Tottenham,70,85,50,85,100,50,50,50,50,50,60,60,60,50,50,50,50
743,Niklas Dorsch,MD,Augsburg,73,89,50,100,100,50,50,50,50,50,50,50,50,50,50,50,50
744,Niklas Dorsch,MD,Heidenheim,65,86,50,94,54,74,50,50,50,50,50,66,50,59,50,50,50
745,Alberto Dossena,DF,Como,58,85,50,92,58,65,50,50,50,50,60,94,60,100,50,50,50
746,Abdoulaye Doucouré,MD,Everton,63,91,50,85,73,100,50,50,50,50,50,64,50,66,50,50,50
747,Cheick Doucouré,MD,Crystal Palace,75,94,50,89,80,53,50,50,50,50,50,72,50,60,50,50,50
748,Désiré Doué,AT,Paris S-G,80,80,50,90,48,100,60,50,60,50,50,68,50,56,50,50,50
749,Guela Doué,DF,Strasbourg,60,79,50,93,50,71,50,50,50,50,60,100,60,100,50,50,50
750,Douglas,MD,Nantes,83,77,50,89,67,89,50,50,50,50,50,86,50,79,50,50,50
751,Ismaël Doukouré,MD,Strasbourg,68,77,50,92,59,77,50,50,50,50,50,90,50,100,50,50,50
752,Issa Doumbia,MD,Venezia,69,84,50,87,36,59,50,50,50,50,50,64,50,60,50,50,50
753,Kamory Doumbia,MD,Brest,84,75,50,91,47,100,50,50,50,50,50,94,50,61,50,50,50
754,Amidou Doumbouya,DF,Nice,58,84,50,92,50,50,50,50,50,50,60,60,60,51,50,50,50
755,Anastasios Douvikas,AT,Como,75,80,50,90,100,50,60,50,60,50,50,52,50,51,50,50,50
756,Anastasios Douvikas,AT,Celta Vigo,71,79,50,73,100,59,60,50,60,50,50,56,50,56,50,50,50
757,Artem Dovbyk,AT,Roma,69,69,50,75,100,95,60,50,60,50,50,52,50,58,50,50,50
758,Flynn Downes,MD,Southampton,65,94,50,92,68,86,50,50,50,50,50,100,50,83,50,50,50
759,Tommy Doyle,MD,Wolves,71,95,50,94,65,71,50,50,50,50,50,60,50,61,50,50,50
760,Radu Drăgușin,DF,Tottenham,60,81,50,91,43,62,50,50,50,50,60,80,60,99,50,50,50
761,Patrick Drewes,GK,Bochum,49,76,50,100,48,50,30,50,40,50,50,50,50,61,80,80,80
762,Tim Drexler,DF,Hoffenheim,65,86,50,92,66,53,50,50,50,50,60,60,60,59,50,50,50
763,Domingos Duarte,DF,Getafe,61,80,50,82,55,56,50,50,50,50,60,66,60,100,50,50,50
764,Martin Dúbravka,GK,Newcastle Utd,62,64,50,100,40,50,30,50,40,50,50,50,50,53,80,80,80
765,Marvin Ducksch,AT,Werder Bremen,75,84,50,74,42,100,60,50,60,50,50,60,50,70,50,50,50
766,Ondrej Duda,MD,Hellas Verona,75,90,50,90,50,100,50,50,50,50,50,98,50,69,50,50,50
767,Duk,AT,Leganés,78,82,50,83,50,59,60,50,60,50,50,50,50,50,50,50,50
768,Denzel Dumfries,AT,Inter,79,75,50,87,57,100,60,50,60,50,50,62,50,73,50,50,50
769,Alfred Duncan,MD,Venezia,65,82,50,87,52,77,50,50,50,50,50,66,50,57,50,50,50
770,Lewis Dunk,DF,Brighton,73,72,50,96,63,68,50,50,50,50,60,70,60,100,50,50,50
771,Jáder Durán,AT,Aston Villa,77,72,50,81,45,62,60,50,60,50,50,50,50,63,50,50,50
772,Pablo Durán,AT,Celta Vigo,81,84,50,81,44,80,60,50,60,50,50,64,50,55,50,50,50
773,Julien Duranville,AT,Dortmund,92,65,50,83,42,53,60,50,60,50,50,50,50,53,50,50,50
774,Hugo Duro,AT,Valencia,85,71,50,78,52,89,60,50,60,50,50,70,50,58,50,50,50
775,Jean-Kevin Duverne,DF,Nantes,62,80,50,87,45,53,50,50,50,50,60,66,60,73,50,50,50
776,Paulo Dybala,AT,Roma,92,72,50,90,63,100,60,50,60,50,50,54,50,52,50,50,50
777,Stefan Džodić,MD,Montpellier,67,89,50,91,42,50,50,50,50,50,50,58,50,58,50,50,50
778,Adam Dźwigała,MD,St. Pauli,83,94,50,82,29,50,50,50,50,50,50,50,50,65,50,50,50
779,Aron Dønnum,MD,Toulouse,68,77,50,86,51,100,50,50,50,50,50,96,50,82,50,50,50
780,Enzo Ebosse,DF,Udinese,63,75,50,80,83,53,50,50,50,50,60,60,60,51,50,50,50
781,Ederson,GK,Manchester City,61,77,50,100,62,59,30,50,40,50,50,52,50,57,80,80,80
782,Éderson,MD,Atalanta,87,80,50,88,74,100,50,50,50,50,50,100,50,74,50,50,50
783,Noah Edjouma,AT,Toulouse,86,73,50,84,50,50,60,50,60,50,50,54,50,52,50,50,50
784,George Edmundson,DF,Ipswich Town,66,73,50,100,50,50,50,50,50,50,60,60,60,50,50,50,50
785,Odsonne Édouard,AT,Crystal Palace,86,73,50,68,100,53,60,50,60,50,50,50,50,51,50,50,50
786,Odsonne Édouard,AT,Leicester City,82,75,50,75,50,53,60,50,60,50,50,50,50,51,50,50,50
787,Samuel Edozie,AT,Southampton,73,82,50,90,50,53,60,50,60,50,50,50,50,50,50,50,50
788,Ronnie Edwards,DF,Southampton,71,73,50,50,50,50,50,50,50,50,60,60,60,50,50,50,50
789,Johannes Eggestein,AT,St. Pauli,68,84,50,81,57,100,60,50,60,50,50,50,50,58,50,50,50
790,Maximilian Eggestein,MD,Freiburg,80,90,50,89,59,92,50,50,50,50,50,100,50,86,50,50,50
791,Kingsley Ehizibue,DF,Udinese,72,71,50,85,52,92,50,50,50,50,60,86,60,100,50,50,50
792,Chidera Ejuke,AT,Sevilla,90,75,50,90,60,95,60,50,60,50,50,52,50,52,50,50,50
793,Jeff Ekhator,AT,Genoa,86,84,50,73,66,77,60,50,60,50,50,52,50,54,50,50,50
794,Hugo Ekitike,AT,Eint Frankfurt,74,81,50,84,63,100,60,50,60,50,50,64,50,66,50,50,50
795,Jurgen Ekkelenkamp,MD,Udinese,64,78,50,85,69,80,50,50,50,50,50,68,50,68,50,50,50
796,Jacques Ekomie,DF,Angers,59,87,50,89,25,50,50,50,50,50,60,60,60,58,50,50,50
797,Emmanuel Ekong,AT,Empoli,79,76,50,70,100,56,60,50,60,50,50,52,50,51,50,50,50
798,Caleb Ekuban,AT,Genoa,86,74,50,70,40,71,60,50,60,50,50,52,50,54,50,50,50
799,Pierre Ekwah Elimby,MD,Saint-Étienne,72,84,50,93,60,77,50,50,50,50,50,100,50,100,50,50,50
800,Anthony Elanga,AT,Nott'ham Forest,84,65,50,83,35,100,60,50,60,50,50,60,50,73,50,50,50
801,Meschak Elia,AT,Nantes,89,67,50,75,50,50,60,50,60,50,50,50,50,51,50,50,50
802,Mikael Ellertsson,MD,Venezia,64,94,50,79,31,92,50,50,50,50,50,72,50,100,50,50,50
803,Harvey Elliott,AT,Liverpool,85,74,50,92,70,62,60,50,60,50,50,50,50,51,50,50,50
804,Elif Elmas,AT,Torino,71,79,50,89,100,65,60,50,60,50,50,56,50,51,50,50,50
805,Elif Elmas,MD,RB Leipzig,78,75,50,88,50,50,50,50,50,50,50,50,50,52,50,50,50
806,Aritz Elustondo,DF,Real Sociedad,73,70,50,91,50,59,50,50,50,50,60,60,60,83,50,50,50
807,Nico Elvedi,DF,Gladbach,62,76,50,95,70,62,50,50,50,50,60,96,60,100,50,50,50
808,Adri Embarba,AT,Rayo Vallecano,78,67,50,81,37,100,60,50,60,50,50,70,50,60,50,50,50
809,Breel Embolo,AT,Monaco,68,85,50,74,61,100,60,50,60,50,50,54,50,54,50,50,50
810,Emanuel Emegha,AT,Strasbourg,87,84,50,79,100,83,60,50,60,50,50,52,50,73,50,50,50
811,Emerson,DF,Milan,58,73,50,90,59,95,50,50,50,50,60,78,60,100,50,50,50
812,Yunus Emre Konak,AT,Brentford,72,79,50,80,75,50,60,50,60,50,50,50,50,50,50,50,50
813,Julio Enciso,AT,Ipswich Town,86,76,50,72,80,62,60,50,60,50,50,52,50,50,50,50,50
814,Julio Enciso,AT,Brighton,89,72,50,81,22,65,60,50,60,50,50,50,50,51,50,50,50
815,Wataru Endo,MD,Liverpool,65,89,50,95,100,53,50,50,50,50,50,56,50,55,50,50,50
816,Endrick,AT,Real Madrid,92,69,50,80,100,56,60,50,60,50,50,56,50,50,50,50,50
817,Yannik Engelhardt,MD,Como,72,93,50,92,67,83,50,50,50,50,50,70,50,75,50,50,50
818,Arne Engels,AT,Augsburg,79,70,50,87,50,50,60,50,60,50,50,50,50,50,50,50,50
819,Christian Eriksen,MD,Manchester Utd,68,93,50,92,50,98,50,50,50,50,50,62,50,56,50,50,50
820,Martin Erlic,DF,Bologna,77,85,50,94,79,50,50,50,50,50,60,60,60,56,50,50,50
821,Patrick Erras,DF,Holstein Kiel,72,85,50,92,62,59,50,50,50,50,60,68,60,100,50,50,50
822,Alfonso Espino,DF,Rayo Vallecano,73,74,50,86,26,53,50,50,50,50,60,68,60,63,50,50,50
823,Sebastiano Esposito,AT,Empoli,80,67,50,71,44,100,60,50,60,50,50,70,50,58,50,50,50
824,Romain Esse,MD,Crystal Palace,84,92,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
825,Samuel Essende,AT,Augsburg,83,78,50,70,50,74,60,50,60,50,50,50,50,56,50,50,50
826,Dario Essugo,MD,Las Palmas,70,90,50,89,76,77,50,50,50,50,50,100,50,81,50,50,50
827,Nahuel Estévez,MD,Parma,73,88,50,88,48,65,50,50,50,50,50,56,50,70,50,50,50
828,Pervis Estupiñán,DF,Brighton,67,76,50,93,51,100,50,50,50,50,60,90,60,91,50,50,50
829,Etienne Eto'o,AT,Rayo Vallecano,72,79,50,100,50,50,60,50,60,50,50,50,50,50,50,50,50
830,Evanilson,AT,Bournemouth,73,67,50,73,87,98,60,50,60,50,50,50,50,61,50,50,50
831,Jonny Evans,DF,Manchester Utd,67,73,50,94,50,50,50,50,50,50,60,60,60,63,50,50,50
832,Edu Expósito,AT,Espanyol,69,68,50,85,30,62,60,50,60,50,50,54,50,53,50,50,50
833,Eberechi Eze,AT,Crystal Palace,77,77,50,85,43,100,60,50,60,50,50,68,50,58,50,50,50
834,Abde Ezzalzouli,AT,Betis,68,83,50,80,31,100,60,50,60,50,50,60,50,61,50,50,50
835,Giovanni Fabbian,MD,Bologna,69,77,50,81,30,68,50,50,50,50,50,54,50,54,50,50,50
836,Łukasz Fabiański,GK,West Ham,42,73,50,100,41,50,30,50,40,50,50,50,50,55,80,80,80
837,Alieu Fadera,AT,Como,68,69,50,88,55,100,60,50,60,50,50,70,50,59,50,50,50
838,Wout Faes,DF,Leicester City,74,71,50,93,50,59,50,50,50,50,60,88,60,100,50,50,50
839,Nicolò Fagioli,MD,Fiorentina,71,89,50,85,50,56,50,50,50,50,50,50,50,55,50,50,50
840,Nicolò Fagioli,MD,Juventus,70,85,50,92,62,62,50,50,50,50,50,54,50,55,50,50,50
841,Romain Faivre,AT,Brest,68,72,50,88,60,80,60,50,60,50,50,56,50,53,50,50,50
842,Wladimiro Falcone,GK,Lecce,57,70,50,100,40,50,30,50,40,50,50,50,50,73,80,80,80
843,Davide Faraoni,DF,Hellas Verona,82,74,50,87,46,56,50,50,50,50,60,60,60,62,50,50,50
844,Abdul Fatawu Issahaku,AT,Leicester City,86,65,50,72,48,68,60,50,60,50,50,58,50,62,50,50,50
845,Ansu Fati,AT,Barcelona,88,78,50,95,33,53,60,50,60,50,50,50,50,50,50,50,50
846,Khalil Fayad,AT,Montpellier,91,75,50,90,70,65,60,50,60,50,50,64,50,64,50,50,50
847,Jacopo Fazzini,AT,Empoli,72,71,50,84,47,65,60,50,60,50,50,60,50,65,50,50,50
848,Peter Federico,AT,Getafe,84,77,50,80,60,59,60,50,60,50,50,52,50,54,50,50,50
849,Nabil Fekir,MD,Betis,67,87,50,88,60,68,50,50,50,50,50,50,50,50,50,50,50
850,Mattia Felici,AT,Cagliari,74,65,50,79,35,77,60,50,60,50,50,62,50,57,50,50,50
851,Luiz Felipe,DF,Marseille,77,88,50,100,50,50,50,50,50,50,60,60,60,50,50,50,50
852,João Félix,AT,Chelsea,84,79,50,90,66,68,60,50,60,50,50,56,50,52,50,50,50
853,João Félix,MD,Milan,74,91,50,86,66,62,50,50,50,50,50,50,50,55,50,50,50
854,Kiko Femenía,DF,Villarreal,70,73,50,94,66,89,50,50,50,50,60,100,60,91,50,50,50
855,Evan Ferguson,AT,West Ham,75,76,50,75,50,53,60,50,60,50,50,52,50,51,50,50,50
856,Evan Ferguson,AT,Brighton,78,69,50,86,25,59,60,50,60,50,50,50,50,54,50,50,50
857,Lewis Ferguson,MD,Bologna,65,95,50,92,80,74,50,50,50,50,50,52,50,57,50,50,50
858,Zinedine Ferhat,AT,Angers,74,75,50,81,46,83,60,50,60,50,50,62,50,59,50,50,50
859,Bruno Fernandes,MD,Manchester Utd,75,92,50,86,51,100,50,50,50,50,50,90,50,77,50,50,50
860,Edimilson Fernandes,MD,Brest,80,92,50,90,73,68,50,50,50,50,50,84,50,74,50,50,50
861,Mateus Fernandes,MD,Southampton,75,85,50,86,54,100,50,50,50,50,50,82,50,74,50,50,50
862,Álvaro Fernández,GK,Sevilla,46,76,50,100,31,53,30,50,40,50,50,50,50,57,80,80,80
863,Enzo Fernández,MD,Chelsea,79,93,50,89,62,100,50,50,50,50,50,70,50,66,50,50,50
864,Roberto Férnandez,AT,Espanyol,84,67,50,73,100,59,60,50,60,50,50,54,50,56,50,50,50
865,Valery Fernández,AT,Mallorca,75,79,50,87,100,50,60,50,60,50,50,50,50,51,50,50,50
866,Matias Fernandez-Pardo,AT,Lille,86,76,50,75,50,68,60,50,60,50,50,52,50,54,50,50,50
867,Jordan Ferri,MD,Montpellier,75,94,50,91,72,74,50,50,50,50,50,66,50,63,50,50,50
868,Daniel Fila,AT,Venezia,73,81,50,83,50,56,60,50,60,50,50,50,50,51,50,50,50
869,Karol Fila,MD,Strasbourg,70,81,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50
870,Kilian Fischer,DF,Wolfsburg,60,76,50,84,61,71,50,50,50,50,60,78,60,100,50,50,50
871,Mark Flekken,GK,Brentford,38,77,50,97,50,56,30,50,40,50,50,50,50,71,80,80,80
872,Mateo Flores,MD,Betis,80,93,50,82,60,50,50,50,50,50,50,54,50,53,50,50,50
873,Phil Foden,AT,Manchester City,69,72,50,91,59,100,60,50,60,50,50,68,50,57,50,50,50
874,Malick Fofana,AT,Lyon,92,84,50,86,41,92,60,50,60,50,50,66,50,56,50,50,50
875,Rayan Fofana,AT,Lens,68,65,50,100,50,50,60,50,60,50,50,50,50,50,50,50,50
876,Seko Fofana,MD,Rennes,64,84,50,91,64,80,50,50,50,50,50,60,50,53,50,50,50
877,Wesley Fofana,DF,Chelsea,66,69,50,93,62,65,50,50,50,50,60,74,60,99,50,50,50
878,Yahia Fofana,GK,Angers,43,60,50,100,44,53,30,50,40,50,50,52,50,69,80,80,80
879,Youssouf Fofana,MD,Milan,75,82,50,87,63,100,50,50,50,50,50,84,50,70,50,50,50
880,Jonas Föhrenbach,DF,Heidenheim,60,78,50,85,45,89,50,50,50,50,60,82,60,100,50,50,50
881,Michael Folorunsho,AT,Fiorentina,84,65,50,86,56,59,60,50,60,50,50,56,50,56,50,50,50
882,Michael Folorunsho,AT,Napoli,86,82,50,71,50,50,60,50,60,50,50,52,50,51,50,50,50
883,Lamine Fomba,MD,Saint-Étienne,70,84,50,89,66,53,50,50,50,50,50,58,50,55,50,50,50
884,Carlos Forbs,AT,Wolves,87,83,50,75,20,53,60,50,60,50,50,52,50,52,50,50,50
885,Pablo Fornals,AT,Betis,76,82,50,86,61,100,60,50,60,50,50,70,50,59,50,50,50
886,Omari Forson,AT,Monza,90,79,50,90,50,50,60,50,60,50,50,50,50,50,50,50,50
887,Fraser Forster,GK,Tottenham,56,76,50,98,48,50,30,50,40,50,50,50,50,57,80,80,80
888,Héctor Fort,DF,Barcelona,70,74,50,95,84,68,50,50,50,50,60,62,60,60,50,50,50
889,Dimitri Foulquier,DF,Valencia,75,72,50,93,35,65,50,50,50,50,60,72,60,100,50,50,50
890,Juan Foyth,DF,Villarreal,60,70,50,93,56,59,50,50,50,50,60,70,60,98,50,50,50
891,Alejandro Francés,DF,Girona,78,73,50,90,59,56,50,50,50,50,60,74,60,76,50,50,50
892,Przemysław Frankowski,DF,Lens,78,70,50,88,50,100,50,50,50,50,60,88,60,78,50,50,50
893,Enric Franquesa,AT,Leganés,73,85,50,80,42,56,60,50,60,50,50,60,50,62,50,50,50
894,Ryan Fraser,AT,Southampton,74,70,50,93,30,56,60,50,60,50,50,52,50,59,50,50,50
895,Davide Frattesi,MD,Inter,66,86,50,90,76,59,50,50,50,50,50,56,50,55,50,50,50
896,Morten Frendrup,MD,Genoa,86,83,50,90,61,77,50,50,50,50,50,100,50,99,50,50,50
897,Martin Frese,DF,Hellas Verona,81,84,50,90,25,62,50,50,50,50,60,62,60,64,50,50,50
898,Remo Freuler,MD,Bologna,76,85,50,92,62,100,50,50,50,50,50,100,50,98,50,50,50
899,Marco Friedl,DF,Werder Bremen,81,79,50,93,70,59,50,50,50,50,60,100,60,100,50,50,50
900,Marvin Friedrich,DF,Gladbach,82,83,50,95,49,56,50,50,50,50,60,60,60,100,50,50,50
901,Jeremie Frimpong,MD,Leverkusen,66,95,50,86,38,100,50,50,50,50,50,64,50,64,50,50,50
902,Jorge de Frutos,AT,Rayo Vallecano,81,69,50,80,52,100,60,50,60,50,50,70,50,67,50,50,50
903,Darío Fuentes,DF,Sevilla,61,82,50,50,50,50,50,50,50,50,60,60,60,50,50,50,50
